horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
5,8,2020-01,2020-07,COMB,82,11748,52.4,34.1,45.1,7.3,-11.0
5,8,2020-01,2020-07,HNB,80,11748,47.5,32.5,46.2,1.2,-13.8
5,8,2020-01,2020-07,LFIN,71,11748,38.0,28.2,38.0,0.0,-9.9
5,8,2020-01,2020-07,LOFC,78,11748,46.2,38.5,56.4,-10.3,-17.9
5,8,2020-01,2020-07,LOLC,82,11748,68.3,26.8,61.0,7.3,-34.1
5,8,2020-01,2020-07,SAMP,82,11748,41.5,25.6,46.3,-4.9,-20.7
5,9,2020-07,2021-01,CFIN,122,12272,36.9,45.9,29.5,7.4,16.4
5,9,2020-07,2021-01,COMB,125,12272,31.2,38.4,32.8,-1.6,5.6
5,9,2020-07,2021-01,HNB,125,12272,29.6,38.4,36.0,-6.4,2.4
5,9,2020-07,2021-01,LFIN,125,12272,35.2,39.2,34.4,0.8,4.8
5,9,2020-07,2021-01,LOFC,125,12272,44.8,46.4,42.4,2.4,4.0
5,9,2020-07,2021-01,LOLC,125,12272,41.6,41.6,34.4,7.2,7.2
5,9,2020-07,2021-01,SAMP,125,12272,32.0,28.0,38.4,-6.4,-10.4
5,10,2021-01,2021-07,CFIN,113,13158,48.7,31.9,51.3,-2.7,-19.5
5,10,2021-01,2021-07,COMB,114,13158,31.6,39.5,27.2,4.4,12.3
5,10,2021-01,2021-07,HNB,114,13158,39.5,39.5,32.5,7.0,7.0
5,10,2021-01,2021-07,LFIN,110,13158,50.0,37.3,56.4,-6.4,-19.1
5,10,2021-01,2021-07,LOFC,114,13158,43.0,48.2,41.2,1.8,7.0
5,10,2021-01,2021-07,LOLC,114,13158,50.0,43.0,50.0,0.0,-7.0
5,10,2021-01,2021-07,SAMP,111,13158,34.2,27.0,42.3,-8.1,-15.3
