ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
LOLC,finance,E,42,132,6 months,1759,473,48.2,41.9,6.3,True,1.995,1.7,7.2,0.0,0.0
LOLC,finance,E2,54,132,6 months,1759,473,52.4,41.9,10.6,True,1.687,3.4,5.7,9.6,10.2
LOLC,finance,A,9,252,1 year,1543,449,48.6,62.8,-14.3,False,1.073,0.0,0.0,0.0,0.0
LOLC,finance,D,38,252,1 year,1543,449,59.0,62.8,-3.8,False,5.124,-2.0,0.0,0.0,0.0
LOLC,finance,E,42,252,1 year,1543,449,62.6,62.8,-0.2,False,5.15,-0.2,9.6,0.0,0.0
LOLC,finance,E2,54,252,1 year,1543,449,43.0,62.8,-19.8,False,3.956,-0.4,6.9,9.4,13.7
LFIN,finance,A,9,1,1 day,1955,490,34.9,33.9,1.0,True,1.024,-8.0,0.0,0.0,0.0
LFIN,finance,D,38,1,1 day,1955,490,36.3,33.9,2.4,True,1.034,-4.1,0.0,0.0,0.0
LFIN,finance,E,42,1,1 day,1955,490,36.7,33.9,2.9,True,1.038,-5.7,9.4,0.0,0.0
LFIN,finance,E2,54,1,1 day,1955,490,36.5,33.9,2.7,True,1.053,-4.1,7.5,16.0,5.9
LFIN,finance,A,9,5,1 week,1948,489,32.9,45.0,-12.1,False,1.029,-4.7,0.0,0.0,0.0
LFIN,finance,D,38,5,1 week,1948,489,39.3,45.0,-5.7,False,1.041,-4.1,0.0,0.0,0.0
LFIN,finance,E,42,5,1 week,1948,489,40.3,45.0,-4.7,False,1.037,-2.5,9.0,0.0,0.0
LFIN,finance,E2,54,5,1 week,1948,489,45.2,45.0,0.2,True,1.059,-0.4,6.8,14.7,7.3
LFIN,finance,A,9,10,2 weeks,1939,488,34.2,50.8,-16.6,False,1.024,-3.7,0.0,0.0,0.0
LFIN,finance,D,38,10,2 weeks,1939,488,44.9,50.8,-5.9,False,1.024,-4.7,0.0,0.0,0.0
LFIN,finance,E,42,10,2 weeks,1939,488,45.3,50.8,-5.5,False,1.019,-6.1,8.7,0.0,0.0
LFIN,finance,E2,54,10,2 weeks,1939,488,44.7,50.8,-6.1,False,1.064,-1.4,6.7,13.0,9.1
LFIN,finance,A,9,15,3 weeks,1930,487,29.6,55.4,-25.9,False,1.02,-3.1,0.0,0.0,0.0
